P_a,SaO2sup,temp,DHbO2,DHHb,CCO,DHbT,DHbdiff,t
54.36479,1,33.1626,-8.6056699992,-2.6379312051,-2.193701715,-11.2436012043,-5.9677387941,0
56.9375779006,1,33.1618,-8.5186088611,-2.610776439,-2.2084006781,-11.1293853001,-5.9078324221,10
60.534296,1,33.1607,-8.5537853383,-2.6501450639,-2.2087604594,-11.2039304022,-5.9036402744,20
56.5717516484,1,33.1596,-8.5783615717,-2.6989042183,-2.1750594998,-11.27726579,-5.8794573534,31
56.2972077778,1,33.1579,-8.5073126702,-2.6104396059,-2.2067062625,-11.1177522761,-5.8968730643,41
52.6953197802,1,33.158,-8.5006834045,-2.695460731,-2.1915344403,-11.1961441355,-5.8052226735,51
56.0428456522,1,33.1549,-8.4206899268,-2.7160656244,-2.1868594998,-11.1367555511,-5.7046243024,62
57.5598848404,1,33.1556,-8.5538137623,-2.6227969617,-2.1991986011,-11.176610724,-5.9310168005,72
54.1050808743,1,33.1527,-8.5240634722,-2.6143968465,-2.2088624274,-11.1384603187,-5.9096666256,82
58.891277809,1,33.1519,-8.5540584292,-2.6742488422,-2.1983162837,-11.2283072714,-5.879809587,93
51.9684937838,1,33.1478,-8.5709818651,-2.6168379139,-2.2209702148,-11.1878197789,-5.9541439512,103
54.8295397849,1,33.1452,-8.4447482768,-2.6999898008,-2.1980687056,-11.1447380776,-5.744758476,113
51.3092612903,1,33.143,-8.5097933851,-2.6808667697,-2.1992038391,-11.1906601547,-5.8289266154,124
53.8646227027,1,33.1381,-8.5147330315,-2.6596774817,-2.2120919288,-11.1744105133,-5.8550555498,134
53.9757983784,1,33.1364,-8.5063366888,-2.5827663848,-2.2463265174,-11.0891030737,-5.923570304,144
52.5325157754,1,33.1337,-8.4811571907,-2.6771901704,-2.2107398683,-11.1583473611,-5.8039670203,155
52.9024369681,1,33.1309,-8.5115315812,-2.588686457,-2.2393103969,-11.1002180383,-5.9228451242,165
55.5228943299,1,33.1302,-8.4740221178,-2.7226969786,-2.2017718854,-11.1967190964,-5.7513251392,175
53.0209242105,1,33.1283,-8.4806782533,-2.6833898224,-2.2088382324,-11.1640680757,-5.7972884309,186
55.9304486486,1,33.1278,-8.4959153545,-2.7322934375,-2.1946170631,-11.2282087919,-5.763621917,196
49.7427796875,1,33.1241,-8.4439258319,-2.6308168917,-2.2486761244,-11.0747427236,-5.8131089402,206
52.3263588083,1,33.1189,-8.4121065633,-2.6920253103,-2.2288158285,-11.1041318736,-5.720081253,217
49.5021900524,1,33.1201,-8.4076716932,-2.7942111606,-2.1764057042,-11.2018828539,-5.6134605326,227
51.2015381443,1,33.1149,-8.3915684497,-2.8075938459,-2.1805568955,-11.1991622956,-5.5839746038,237
52.2756,1,33.1157,-8.4495676962,-2.698080057,-2.2205735232,-11.1476477532,-5.7514876392,248
49.6473225064,1,33.1105,-8.4421920056,-2.795376773,-2.1736931281,-11.2375687786,-5.6468152326,258
51.5394629442,1,33.1066,-8.4138379954,-2.7500394003,-2.2084686703,-11.1638773957,-5.6637985951,268
47.846330303,1,33.1052,-8.4320825147,-2.715119852,-2.2280246082,-11.1472023667,-5.7169626627,279
50.6247333333,1,33.0998,-8.464272217,-2.6991687559,-2.210687969,-11.163440973,-5.7651034611,289
56.0082383838,1,33.0985,-8.5032334251,-2.70068407,-2.2045336856,-11.203917495,-5.8025493551,299
49.686642,1,33.0959,-8.4137543196,-2.6836094086,-2.2279169297,-11.0973637283,-5.730144911,310
49.972162,1,33.0926,-8.4006602101,-2.6607147958,-2.2606289301,-11.0613750059,-5.7399454144,320
48.34210425,1,33.0917,-8.3885416176,-2.828462411,-2.2042754655,-11.2170040286,-5.5600792067,330
49.5252681592,1,33.0904,-8.3931748987,-2.7891159811,-2.2077526852,-11.1822908799,-5.6040589176,341
